level,String,upgradeTimeInSeconds,currency,amount,towerConstructionCostEfectivity,towerConstructionTimeEfectivity,time_opt,elementalEmber_opt,electrumBar_opt,cosmicCharge_opt,time_culmative(days),elementalEmber_culmative,electrumBar_culmative,cosmicCharge_culmative,culmative_rubble,upgradeReward,XP,XP_culmative
19,electrumBar:1200,388800,electrumBar,1200,50,10,38880,0,600,0,12.23125,0,3450,0,19940.02927,experience:5334,5334,30568
20,piercing:154799,432000,piercing,154799,50,10,43200,0,0,0,12.73125,0,3450,0,20038.04927,experience:7000,7000,37568
21,electrumBar:1350,518400,electrumBar,1350,50,10,51840,0,675,0,13.33125,0,4125,0,23587.84577,experience:9143,9143,46711
22,piercing:219599,604800,piercing,219599,50,10,60480,0,0,0,14.03125,0,4125,0,23725.07377,experience:12000,12000,58711
23,electrumBar:1500,691200,electrumBar,1500,50,10,69120,0,750,0,14.83125,0,4875,0,27695.43077,experience:16000,16000,74711
24,piercing:269232,864000,piercing,269232,50,10,86400,0,0,0,15.83125,0,4875,0,27891.47078,experience:17600,17600,92311
25,electrumBar:1650,864000,electrumBar,1650,50,10,86400,0,825,0,16.83125,0,5700,0,32282.38828,experience:19200,19200,111511
26,piercing:340800,936000,piercing,340800,50,10,93600,0,0,0,17.91458333,0,5700,0,32494.76495,experience:20800,20800,132311
27,electrumBar:1800,1080000,electrumBar,1800,50,10,108000,0,900,0,19.16458333,0,6600,0,37316.04495,experience:24000,24000,156311
28,piercing:422592,1152000,piercing,422592,50,10,115200,0,0,0,20.49791667,0,6600,0,37577.43162,experience:25600,25600,181911
29,electrumBar:1950,1224000,electrumBar,1950,50,10,122400,0,975,0,21.91458333,0,7575,0,42812.73745,experience:27200,27200,209111
30,piercing:504384,1224000,piercing,504384,50,10,122400,0,0,0,23.33125,0,7575,0,43090.46079,experience:30400,30400,239511
31,electrumBar:2100,1370990,electrumBar,2100,50,10,137099,0,1050,0,24.91804398,0,8625,0,48740.47088,experience:32000,32000,271511
32,piercing:586176,1468800,piercing,586176,50,10,146880,0,0,0,26.61804398,0,8625,0,49073.73888,experience:33600,33600,305111
33,electrumBar:2250,1566720,electrumBar,2250,50,10,156672,0,1125,0,28.43137731,0,9750,0,55149.51225,experience:33600,33600,338711
34,piercing:667968,1664640,piercing,667968,50,10,166464,0,0,0,30.35804398,0,9750,0,55527.21599,experience:33600,33600,372311
35,electrumBar:2400,1762560,electrumBar,2400,50,10,176256,0,1200,0,32.39804398,0,10950,0,62028.77759,experience:33600,33600,405911
36,piercing:749760,1762560,piercing,749760,50,10,176256,0,0,0,34.43804398,0,10950,0,62428.6992,experience:33600,33600,439511
37,electrumBar:2550,1762560,electrumBar,2550,50,10,176256,0,1275,0,36.47804398,0,12225,0,69311.6133,experience:33600,33600,473111
38,piercing:831552,1762560,piercing,831552,50,10,176256,0,0,0,38.51804398,0,12225,0,69711.5349,experience:33600,33600,506711
39,electrumBar:2700,1762560,electrumBar,2700,50,10,176256,0,1350,0,40.55804398,0,13575,0,76975.80151,experience:33600,33600,540311
40,piercing:913344,1762560,piercing,913344,50,10,176256,0,0,0,42.59804398,0,13575,0,77375.72311,experience:33600,33600,573911
41,electrumBar:2850,2290604,electrumBar,2850,50,10,229060.4,0,1425,0,45.24920602,0,15000,0,85141.15442,experience:35349,35349,609260
42,piercing:995136,2743903,piercing,995136,50,10,274390.3,0,0,0,48.42501968,0,15000,0,85763.74093,experience:42345,42345,651605
43,electrumBar:3000,3197201,electrumBar,3000,50,10,319720.1,0,1500,0,52.1254838,0,16500,0,94116.22993,experience:49340,49340,700945
44,piercing:1076928,3650500,piercing,1076928,50,10,365050,0,0,0,56.35059954,0,16500,0,94944.52162,experience:56335,56335,757280
45,electrumBar:3150,4103799,electrumBar,3150,50,10,410379.9,0,1575,0,61.1003669,0,18075,0,103884.0685,experience:63331,63331,820611
46,piercing:1158720,4177339,piercing,1158720,50,10,417733.9,0,0,0,65.93525,0,18075,0,104831.899,experience:70326,70326,890937
47,electrumBar:3300,4314507,electrumBar,3300,50,10,431450.7,0,1650,0,70.92889236,0,19725,0,114200.6077,experience:77321,77321,968258
48,piercing:1240512,4553079,piercing,1240512,50,10,455307.9,0,0,0,76.19865972,0,19725,0,115233.6929,experience:84317,84317,1052575
49,electrumBar:3450,4602106,electrumBar,3450,50,10,460210.6,0,1725,0,81.5251713,0,21450,0,125049.0097,experience:91312,91312,1143887
50,piercing:1322304,4777719,piercing,1322304,50,10,477771.9,0,0,0,87.05493866,0,21450,0,126133.0653,experience:98307,98307,1242194
51,electrumBar:3600,5000000,electrumBar,3600,50,10,500000,0,1800,0,92.84197569,0,23250,0,136420.0161,experience:101805,101805,1343999
52,piercing:1363200,5000000,piercing,1363200,50,10,500000,0,0,0,98.62901273,0,23250,0,137554.5068,experience:105303,105303,1449302
53,electrumBar:3750,5000000,electrumBar,3750,50,10,500000,0,1875,0,104.4160498,0,25125,0,148222.8101,experience:106000,106000,1555302
54,piercing:1404096,5000000,piercing,1404096,50,10,500000,0,0,0,110.2030868,0,25125,0,149357.3008,experience:106000,106000,1661302
55,electrumBar:3900,5000000,electrumBar,3900,50,10,500000,0,1950,0,115.9901238,0,27075,0,160406.9566,experience:106000,106000,1767302
56,piercing:1444992,5000000,piercing,1444992,50,10,500000,0,0,0,121.7771609,0,27075,0,161541.4473,experience:106000,106000,1873302
57,electrumBar:4050,5000000,electrumBar,4050,50,10,500000,0,2025,0,127.5641979,0,29100,0,172972.4556,experience:106000,106000,1979302
58,piercing:1485888,5000000,piercing,1485888,50,10,500000,0,0,0,133.351235,0,29100,0,174106.9463,experience:106000,106000,2085302
59,electrumBar:4200,5000000,electrumBar,4200,50,10,500000,0,2100,0,139.138272,0,31200,0,185919.3071,experience:106000,106000,2191302
60,piercing:1526784,5000000,piercing,1526784,50,10,500000,0,0,0,144.925309,0,31200,0,187053.7978,experience:106000,106000,2297302
61,electrumBar:4350,5000000,electrumBar,4350,50,10,500000,0,2175,0,150.7123461,0,33375,0,199247.5111,experience:106000,106000,2403302
62,piercing:1772160,5000000,piercing,1772160,50,10,500000,0,0,0,156.4993831,0,33375,0,200382.0018,experience:106000,106000,2509302
63,electrumBar:4500,5000000,electrumBar,4500,50,10,500000,0,2250,0,162.2864201,0,35625,0,212957.0676,experience:106000,106000,2615302
64,piercing:1813056,5000000,piercing,1813056,50,10,500000,0,0,0,168.0734572,0,35625,0,214091.5583,experience:106000,106000,2721302
65,electrumBar:4650,5000000,electrumBar,4650,50,10,500000,0,2325,0,173.8604942,0,37950,0,227047.9766,experience:106000,106000,2827302
66,piercing:1853952,5000000,piercing,1853952,50,10,500000,0,0,0,179.6475313,0,37950,0,228182.4673,experience:106000,106000,2933302
67,electrumBar:4800,5000000,electrumBar,4800,50,10,500000,0,2400,0,185.4345683,0,40350,0,241520.2381,experience:106000,106000,3039302
68,piercing:1894848,5000000,piercing,1894848,50,10,500000,0,0,0,191.2216053,0,40350,0,242654.7288,experience:106000,106000,3145302
69,electrumBar:4950,5000000,electrumBar,4950,50,10,500000,0,2475,0,197.0086424,0,42825,0,256373.8521,experience:106000,106000,3251302
70,piercing:1935744,5000000,piercing,1935744,50,10,500000,0,0,0,202.7956794,0,42825,0,257508.3428,experience:106000,106000,3357302
71,electrumBar:5100,5000000,electrumBar,5100,50,10,500000,0,2550,0,208.5827164,0,45375,0,271608.8186,experience:106000,106000,3463302
72,piercing:1976640,5000000,piercing,1976640,50,10,500000,0,0,0,214.3697535,0,45375,0,272743.3093,experience:106000,106000,3569302
73,electrumBar:5250,5000000,electrumBar,5250,50,10,500000,0,2625,0,220.1567905,0,48000,0,287225.1376,experience:106000,106000,3675302
74,piercing:2017536,5000000,piercing,2017536,50,10,500000,0,0,0,225.9438275,0,48000,0,288359.6283,experience:106000,106000,3781302
75,electrumBar:5400,5000000,electrumBar,5400,50,10,500000,0,2700,0,231.7308646,0,50700,0,303222.8091,experience:106000,106000,3887302
76,piercing:2058432,5000000,piercing,2058432,50,10,500000,0,0,0,237.5179016,0,50700,0,304357.2998,experience:106000,106000,3993302
77,electrumBar:5550,5000000,electrumBar,5550,50,10,500000,0,2775,0,243.3049387,0,53475,0,319601.8331,experience:106000,106000,4099302
78,piercing:2109552,5000000,piercing,2109552,50,10,500000,0,0,0,249.0919757,0,53475,0,320736.3238,experience:106000,106000,4205302
79,electrumBar:5700,5000000,electrumBar,5700,50,10,500000,0,2850,0,254.8790127,0,56325,0,336362.2096,experience:106000,106000,4311302
80,piercing:2160672,5000000,piercing,2160672,50,10,500000,0,0,0,260.6660498,0,56325,0,337496.7003,experience:106000,106000,4417302
81,electrumBar:5850,5000000,electrumBar,5850,50,10,500000,0,2925,0,266.4530868,0,59250,0,353503.9386,experience:106000,106000,4523302
82,piercing:2160672,5000000,piercing,2160672,50,10,500000,0,0,0,272.2401238,0,59250,0,354638.4293,experience:106000,106000,4629302
83,electrumBar:6000,5000000,electrumBar,6000,50,10,500000,0,3000,0,278.0271609,0,62250,0,371027.0201,experience:106000,106000,4735302
84,piercing:2160672,5000000,piercing,2160672,50,10,500000,0,0,0,283.8141979,0,62250,0,372161.5108,experience:106000,106000,4841302
85,electrumBar:6150,5000000,electrumBar,6150,50,10,500000,0,3075,0,289.601235,0,65325,0,388931.4541,experience:106000,106000,4947302
86,piercing:2160672,5000000,piercing,2160672,50,10,500000,0,0,0,295.388272,0,65325,0,390065.9448,experience:106000,106000,5053302
87,electrumBar:6300,5000000,electrumBar,6300,50,10,500000,0,3150,0,301.175309,0,68475,0,407217.2406,experience:106000,106000,5159302
88,piercing:2160672,5000000,piercing,2160672,50,10,500000,0,0,0,306.9623461,0,68475,0,408351.7313,experience:106000,106000,5265302
89,electrumBar:6450,5000000,electrumBar,6450,50,10,500000,0,3225,0,312.7493831,0,71700,0,425884.3796,experience:106000,106000,5371302
90,piercing:2160672,5000000,piercing,2160672,50,10,500000,0,0,0,318.5364201,0,71700,0,427018.8703,experience:106000,106000,5477302
91,electrumBar:6600,5000000,electrumBar,6600,50,10,500000,0,3300,0,324.3234572,0,75000,0,444932.8711,experience:106000,106000,5583302
92,piercing:2160672,5000000,piercing,2160672,50,10,500000,0,0,0,330.1104942,0,75000,0,446067.3618,experience:106000,106000,5689302
93,electrumBar:6750,5000000,electrumBar,6750,50,10,500000,0,3375,0,335.8975313,0,78375,0,464362.7151,experience:106000,106000,5795302
94,piercing:2160672,5000000,piercing,2160672,50,10,500000,0,0,0,341.6845683,0,78375,0,465497.2058,experience:106000,106000,5901302
95,electrumBar:6900,5000000,electrumBar,6900,50,10,500000,0,3450,0,347.4716053,0,81825,0,484173.9116,experience:106000,106000,6007302
96,piercing:2160672,5000000,piercing,2160672,50,10,500000,0,0,0,353.2586424,0,81825,0,485308.4023,experience:106000,106000,6113302
97,electrumBar:7050,5000000,electrumBar,7050,50,10,500000,0,3525,0,359.0456794,0,85350,0,504366.4606,experience:106000,106000,6219302
98,piercing:2160672,5000000,piercing,2160672,50,10,500000,0,0,0,364.8327164,0,85350,0,505500.9513,experience:106000,106000,6325302
99,electrumBar:7200,5000000,electrumBar,7200,50,10,500000,0,3600,0,370.6197535,0,88950,0,524940.3621,experience:106000,106000,6431302
100,piercing:2160672,5000000,piercing,2160672,50,10,500000,0,0,0,376.4067905,0,88950,0,526074.8528,experience:106000,106000,6537302
101,electrumBar:7350,5000000,electrumBar,7350,50,10,500000,0,3675,0,382.1938275,0,92625,0,545895.6161,experience:106000,106000,6643302
102,piercing:2160672,5000000,piercing,2160672,50,10,500000,0,0,0,387.9808646,0,92625,0,547030.1068,experience:106000,106000,6749302
103,electrumBar:7500,5000000,electrumBar,7500,50,10,500000,0,3750,0,393.7679016,0,96375,0,567232.2226,experience:106000,106000,6855302
104,piercing:2160672,5000000,piercing,2160672,50,10,500000,0,0,0,399.5549387,0,96375,0,568366.7133,experience:106000,106000,6961302
105,electrumBar:7650,5000000,electrumBar,7650,50,10,500000,0,3825,0,405.3419757,0,100200,0,588950.1816,experience:106000,106000,7067302
106,piercing:2160673,5000000,piercing,2160673,50,10,500000,0,0,0,411.1290127,0,100200,0,590084.6723,experience:106000,106000,7173302
107,electrumBar:7800,5000000,electrumBar,7800,50,10,500000,0,3900,0,416.9160498,0,104100,0,611049.4931,experience:106000,106000,7279302
108,piercing:2160673,5000000,piercing,2160673,50,10,500000,0,0,0,422.7030868,0,104100,0,612183.9838,experience:106000,106000,7385302
109,electrumBar:7950,5000000,electrumBar,7950,50,10,500000,0,3975,0,428.4901238,0,108075,0,633530.1571,experience:106000,106000,7491302
110,piercing:2160673,5000000,piercing,2160673,50,10,500000,0,0,0,434.2771609,0,108075,0,634664.6478,experience:106000,106000,7597302
111,electrumBar:8100,5000000,electrumBar,8100,50,10,500000,0,4050,0,440.0641979,0,112125,0,656392.1736,experience:106000,106000,7703302
112,piercing:2160674,5000000,piercing,2160674,50,10,500000,0,0,0,445.851235,0,112125,0,657526.6643,experience:106000,106000,7809302
113,electrumBar:8250,5000000,electrumBar,8250,50,10,500000,0,4125,0,451.638272,0,116250,0,679635.5426,experience:106000,106000,7915302
114,piercing:2160674,5000000,piercing,2160674,50,10,500000,0,0,0,457.425309,0,116250,0,680770.0333,experience:106000,106000,8021302
115,electrumBar:8400,5000000,electrumBar,8400,50,10,500000,0,4200,0,463.2123461,0,120450,0,703260.2641,experience:106000,106000,8127302
116,piercing:2160674,5000000,piercing,2160674,50,10,500000,0,0,0,468.9993831,0,120450,0,704394.7548,experience:106000,106000,8233302
117,electrumBar:8550,5000000,electrumBar,8550,50,10,500000,0,4275,0,474.7864201,0,124725,0,727266.3381,experience:106000,106000,8339302
118,piercing:2160675,5000000,piercing,2160675,50,10,500000,0,0,0,480.5734572,0,124725,0,728400.8288,experience:106000,106000,8445302
119,electrumBar:8700,5000000,electrumBar,8700,50,10,500000,0,4350,0,486.3604942,0,129075,0,751653.7646,experience:106000,106000,8551302
120,piercing:2160675,5000000,piercing,2160675,50,10,500000,0,0,0,492.1475313,0,129075,0,752788.2553,experience:106000,106000,8657302
121,electrumBar:8850,5000000,electrumBar,8850,50,10,500000,0,4425,0,497.9345683,0,133500,0,776422.5436,experience:106000,106000,8763302
122,piercing:2160675,5000000,piercing,2160675,50,10,500000,0,0,0,503.7216053,0,133500,0,777557.0343,experience:106000,106000,8869302
123,electrumBar:9000,5000000,electrumBar,9000,50,10,500000,0,4500,0,509.5086424,0,138000,0,801572.6751,experience:106000,106000,8975302
124,piercing:2160676,5000000,piercing,2160676,50,10,500000,0,0,0,515.2956794,0,138000,0,802707.1658,experience:106000,106000,9081302
125,electrumBar:9150,5000000,electrumBar,9150,50,10,500000,0,4575,0,521.0827164,0,142575,0,827104.1591,experience:106000,106000,9187302
126,piercing:2160676,5000000,piercing,2160676,50,10,500000,0,0,0,526.8697535,0,142575,0,828238.6498,experience:106000,106000,9293302
127,electrumBar:9300,5000000,electrumBar,9300,50,10,500000,0,4650,0,532.6567905,0,147225,0,853016.9956,experience:106000,106000,9399302
128,piercing:2160676,5000000,piercing,2160676,50,10,500000,0,0,0,538.4438275,0,147225,0,854151.4863,experience:106000,106000,9505302
129,electrumBar:9450,5000000,electrumBar,9450,50,10,500000,0,4725,0,544.2308646,0,151950,0,879311.1846,experience:106000,106000,9611302
130,piercing:2160677,5000000,piercing,2160677,50,10,500000,0,0,0,550.0179016,0,151950,0,880445.6753,experience:106000,106000,9717302
131,electrumBar:9600,5000000,electrumBar,9600,50,10,500000,0,4800,0,555.8049387,0,156750,0,905986.7261,experience:106000,106000,9823302
132,piercing:2160678,5000000,piercing,2160678,50,10,500000,0,0,0,561.5919757,0,156750,0,907121.2168,experience:106000,106000,9929302
133,electrumBar:9750,5000000,electrumBar,9750,50,10,500000,0,4875,0,567.3790127,0,161625,0,933043.6201,experience:106000,106000,10035302
134,piercing:2160679,5000000,piercing,2160679,50,10,500000,0,0,0,573.1660498,0,161625,0,934178.1108,experience:106000,106000,10141302
135,electrumBar:9900,5000000,electrumBar,9900,50,10,500000,0,4950,0,578.9530868,0,166575,0,960481.8666,experience:106000,106000,10247302
136,piercing:2160680,5000000,piercing,2160680,55,10,500000,0,0,0,584.7401238,0,166575,0,961616.3573,experience:106000,106000,10353302
137,electrumBar:10050,5000000,electrumBar,10050,55,10,500000,0,5528,0,590.5271609,0,172103,0,990859.0697,experience:106000,106000,10459302
138,piercing:2160681,5000000,piercing,2160681,55,10,500000,0,0,0,596.3141979,0,172103,0,991993.5604,experience:106000,106000,10565302
139,electrumBar:10200,5000000,electrumBar,10200,55,10,500000,0,5610,0,602.101235,0,177713,0,1021653.218,experience:106000,106000,10671302
140,piercing:2160682,5000000,piercing,2160682,55,10,500000,0,0,0,607.888272,0,177713,0,1022787.709,experience:106000,106000,10777302
141,electrumBar:10350,5000000,electrumBar,10350,55,10,500000,0,5693,0,613.675309,0,183406,0,1052869.397,experience:106000,106000,10883302
142,piercing:2160683,5000000,piercing,2160683,55,10,500000,0,0,0,619.4623461,0,183406,0,1054003.888,experience:106000,106000,10989302
143,electrumBar:10500,5000000,electrumBar,10500,55,10,500000,0,5775,0,625.2493831,0,189181,0,1084502.521,experience:106000,106000,11095302
144,piercing:2160684,5000000,piercing,2160684,55,10,500000,0,0,0,631.0364201,0,189181,0,1085637.012,experience:106000,106000,11201302
145,electrumBar:10650,5000000,electrumBar,10650,55,10,500000,0,5858,0,636.8234572,0,195039,0,1116557.675,experience:106000,106000,11307302
146,piercing:2160685,5000000,piercing,2160685,60,60,3000000,0,0,0,671.5456794,0,195039,0,1123364.619,experience:106000,106000,11413302
147,electrumBar:10800,5000000,electrumBar,10800,60,60,3000000,0,6480,0,706.2679016,0,201519,0,1163120.42,experience:106000,106000,11519302
148,piercing:2160686,5000000,piercing,2160686,60,60,3000000,0,0,0,740.9901238,0,201519,0,1169927.364,experience:106000,106000,11625302
149,electrumBar:10950,5000000,electrumBar,10950,60,60,3000000,0,6570,0,775.7123461,0,208089,0,1210140.788,experience:106000,106000,11731302
150,piercing:2160687,5000000,piercing,2160687,60,60,3000000,0,0,0,810.4345683,0,208089,0,1216947.732,experience:106000,106000,11837302
151,electrumBar:11100,5000000,electrumBar,11100,60,60,3000000,0,6660,0,845.1567905,0,214749,0,1257618.779,experience:106000,106000,11943302
152,piercing:2160688,5000000,piercing,2160688,60,60,3000000,0,0,0,879.8790127,0,214749,0,1264425.723,experience:106000,106000,12049302
153,electrumBar:11250,5000000,electrumBar,11250,60,60,3000000,0,6750,0,914.601235,0,221499,0,1305554.393,experience:106000,106000,12155302
154,piercing:2160689,5000000,piercing,2160689,60,60,3000000,0,0,0,949.3234572,0,221499,0,1312361.337,experience:106000,106000,12261302
155,electrumBar:11400,5000000,electrumBar,11400,60,60,3000000,0,6840,0,984.0456794,0,228339,0,1353947.63,experience:106000,106000,12367302
156,piercing:2160690,5000000,piercing,2160690,65,65,3250000,0,0,0,1021.66142,0,228339,0,1361321.82,experience:106000,106000,12473302
157,electrumBar:11550,5000000,electrumBar,11550,65,65,3250000,0,7508,0,1059.277161,0,235847,0,1406871.937,experience:106000,106000,12579302
158,piercing:2160691,5000000,piercing,2160691,65,65,3250000,0,0,0,1096.892902,0,235847,0,1414246.127,experience:106000,106000,12685302
159,electrumBar:11700,5000000,electrumBar,11700,65,65,3250000,0,7605,0,1134.508642,0,243452,0,1460289.46,experience:106000,106000,12791302
160,piercing:2160692,5000000,piercing,2160692,65,65,3250000,0,0,0,1172.124383,0,243452,0,1467663.65,experience:106000,106000,12897302
161,electrumBar:11850,5000000,electrumBar,11850,65,65,3250000,0,7703,0,1209.740124,0,251155,0,1514205.284,experience:106000,106000,13003302
162,piercing:2160693,5000000,piercing,2160693,65,65,3250000,0,0,0,1247.355865,0,251155,0,1521579.474,experience:106000,106000,13109302
163,electrumBar:12000,5000000,electrumBar,12000,65,65,3250000,0,7800,0,1284.971605,0,258955,0,1568614.324,experience:106000,106000,13215302
164,piercing:2160693,5000000,piercing,2160693,65,65,3250000,0,0,0,1322.587346,0,258955,0,1575988.514,experience:106000,106000,13321302
165,electrumBar:12150,5000000,electrumBar,12150,65,65,3250000,0,7898,0,1360.203087,0,266853,0,1623521.664,experience:106000,106000,13427302
166,piercing:2160693,5000000,piercing,2160693,75,75,3750000,0,0,0,1403.605865,0,266853,0,1632030.345,experience:106000,106000,13533302
167,electrumBar:12300,5000000,electrumBar,12300,75,75,3750000,0,9225,0,1447.008642,0,276078,0,1687445.383,experience:106000,106000,13639302
168,piercing:2160693,5000000,piercing,2160693,75,75,3750000,0,0,0,1490.41142,0,276078,0,1695954.064,experience:106000,106000,13745302
169,electrumBar:12450,5000000,electrumBar,12450,75,75,3750000,0,9338,0,1533.814198,0,285416,0,1751943.673,experience:106000,106000,13851302
170,piercing:2160693,5000000,piercing,2160693,75,75,3750000,0,0,0,1577.216976,0,285416,0,1760452.354,experience:106000,106000,13957302
171,electrumBar:12600,5000000,electrumBar,12600,75,75,3750000,0,9450,0,1620.619753,0,294866,0,1817011.449,experience:106000,106000,14063302
172,piercing:2160693,5000000,piercing,2160693,75,75,3750000,0,0,0,1664.022531,0,294866,0,1825520.13,experience:106000,106000,14169302
173,electrumBar:12750,5000000,electrumBar,12750,75,75,3750000,0,9563,0,1707.425309,0,304429,0,1882653.797,experience:106000,106000,14275302
174,piercing:2160693,5000000,piercing,2160693,75,75,3750000,0,0,0,1750.828087,0,304429,0,1891162.477,experience:106000,106000,14381302
175,electrumBar:12900,5000000,electrumBar,12900,75,75,3750000,0,9675,0,1794.230865,0,314104,0,1948865.63,experience:106000,106000,14487302
176,piercing:2160693,5000000,piercing,2160693,85,85,4250000,0,0,0,1843.420679,0,314104,0,1958508.802,experience:106000,106000,14593302
177,electrumBar:13050,5000000,electrumBar,13050,85,85,4250000,0,11093,0,1892.610494,0,325197,0,2024556.55,experience:106000,106000,14699302
178,piercing:2160693,5000000,piercing,2160693,85,85,4250000,0,0,0,1941.800309,0,325197,0,2034199.722,experience:106000,106000,14805302
179,electrumBar:13200,5000000,electrumBar,13200,85,85,4250000,0,11220,0,1990.990124,0,336417,0,2100893.227,experience:106000,106000,14911302
180,piercing:2160693,5000000,piercing,2160693,85,85,4250000,0,0,0,2040.179939,0,336417,0,2110536.398,experience:106000,106000,15017302
181,electrumBar:13350,5000000,electrumBar,13350,85,85,4250000,0,11348,0,2089.369753,0,347765,0,2177880.745,experience:106000,106000,15123302
182,piercing:2160693,5000000,piercing,2160693,85,85,4250000,0,0,0,2138.559568,0,347765,0,2187523.917,experience:106000,106000,15229302
183,electrumBar:13500,5000000,electrumBar,13500,85,85,4250000,0,11475,0,2187.749383,0,359240,0,2255514.021,experience:106000,106000,15335302
184,piercing:2160693,5000000,piercing,2160693,85,85,4250000,0,0,0,2236.939198,0,359240,0,2265157.192,experience:106000,106000,15441302
185,electrumBar:13650,5000000,electrumBar,13650,85,85,4250000,0,11603,0,2286.129013,0,370843,0,2333798.137,experience:106000,106000,15547302
186,piercing:2160693,5000000,piercing,2160693,90,90,4500000,0,0,0,2338.212346,0,370843,0,2344008.554,experience:106000,106000,15653302
187,electrumBar:13800,5000000,electrumBar,13800,90,90,4500000,0,12420,0,2390.295679,0,383263,0,2417370.945,experience:106000,106000,15759302
188,piercing:2160693,5000000,piercing,2160693,90,90,4500000,0,0,0,2442.379013,0,383263,0,2427581.362,experience:106000,106000,15865302
189,electrumBar:13950,5000000,electrumBar,13950,90,90,4500000,0,12555,0,2494.462346,0,395818,0,2501630.187,experience:106000,106000,15971302
190,piercing:2160693,5000000,piercing,2160693,90,90,4500000,0,0,0,2546.545679,0,395818,0,2511840.604,experience:106000,106000,16077302
191,electrumBar:14100,5000000,electrumBar,14100,90,90,4500000,0,12690,0,2598.629013,0,408508,0,2586575.863,experience:106000,106000,16183302
192,piercing:2160693,5000000,piercing,2160693,90,90,4500000,0,0,0,2650.712346,0,408508,0,2596786.28,experience:106000,106000,16289302
193,electrumBar:14250,5000000,electrumBar,14250,90,90,4500000,0,12825,0,2702.795679,0,421333,0,2672207.974,experience:106000,106000,16395302
194,piercing:2160693,5000000,piercing,2160693,90,90,4500000,0,0,0,2754.879013,0,421333,0,2682418.391,experience:106000,106000,16501302
195,electrumBar:14400,5000000,electrumBar,14400,90,90,4500000,0,12960,0,2806.962346,0,434293,0,2758526.52,experience:106000,106000,16607302
196,piercing:2160693,5000000,piercing,2160693,100,100,5000000,0,0,0,2864.832716,0,434293,0,2769871.427,experience:106000,106000,16713302
197,electrumBar:14550,5000000,electrumBar,14550,100,100,5000000,0,14550,0,2922.703087,0,448843,0,2855198.72,experience:106000,106000,16819302
198,piercing:2160693,5000000,piercing,2160693,100,100,5000000,0,0,0,2980.573457,0,448843,0,2866543.627,experience:106000,106000,16925302
199,electrumBar:14700,5000000,electrumBar,14700,100,100,5000000,0,14700,0,3038.443828,0,463543,0,2952633.625,experience:106000,106000,17031302
200,piercing:2160693,5000000,piercing,2160693,100,100,5000000,0,0,0,3096.314198,0,463543,0,2963978.532,experience:106000,106000,17137302
201,electrumBar:14861,5000000,electrumBar,14861,100,100,5000000,0,14861,0,3154.184568,0,478404,0,3050887.167,experience:108120,108120,17245422
